ID,LLM,Ratio_VD_S,Ratio_Nom,Ratio_LW_S,av_nominal_deps_NN,cl_av_deps,nn_all_nominal_deps_NN_struct,volume,abundance,mattr_50,evenness_50,disparity,dispersion_per_100,QWE_Score,BERTScore_F1
lyrics00432,Gemini,0.9091,1.8667,0.6364,1.46551724138,2.62962962963,0.0,210,118,0.743106,0.954311,1.021277,10.0,0.6659,0.8213
lyrics00433,Gemini,0.8,1.7692,0.8,1.4,2.80952380952,0.0,176,118,0.832283,0.973878,1.045977,6.818182,0.8295,0.8459
lyrics00434,Gemini,0.75,2.2373,0.75,1.37795275591,2.77272727273,0.00787401574803,414,168,0.675233,0.931755,1.040845,7.004831,0.6341,0.7717
lyrics00435,Gemini,0.8571,2.2162,0.4286,1.42168674699,2.21621621622,0.0,287,137,0.776303,0.957458,1.019048,6.968641,0.7721,0.8247
lyrics00436,Gemini,0.9231,2.2692,0.3846,1.64406779661,2.40909090909,0.0169491525424,203,114,0.741299,0.953354,1.022472,7.389163,0.7596,0.8171
lyrics00437,Gemini,0.7778,2.0,0.3889,1.29347826087,2.31707317073,0.054347826087,298,178,0.81253,0.971427,1.02518,9.395973,0.8195,0.852
lyrics00438,Gemini,0.8,1.9286,0.6,1.08928571429,2.34782608696,0.0178571428571,175,104,0.755238,0.956266,1.050633,10.285714,0.8257,0.8481
lyrics00439,Gemini,0.5833,2.6552,0.5833,1.61971830986,2.34615384615,0.112676056338,246,126,0.767817,0.955288,1.036082,8.130081,0.7782,0.8444
lyrics00440,Gemini,0.8462,1.7632,0.3846,1.41538461538,2.41935483871,0.0153846153846,236,120,0.764171,0.959663,1.022222,8.050847,0.7339,0.8168
lyrics00441,Gemini,0.9167,2.0606,1.0,1.61538461538,2.4,0.0,238,130,0.781905,0.964317,1.038095,6.722689,0.6018,0.8054
lyrics00442,Gemini,0.9091,1.5,0.4545,1.59322033898,2.36666666667,0.0169491525424,217,129,0.801786,0.96837,1.019802,8.294931,0.7761,0.8355
lyrics00443,Gemini,0.7692,1.34,0.5385,1.4358974359,2.64516129032,0.0,279,146,0.79113,0.967849,1.017857,10.752688,0.8443,0.8563
lyrics00444,Gemini,1.0,2.3448,0.7778,1.65217391304,2.88888888889,0.0,240,131,0.772984,0.958064,1.061224,6.25,0.8288,0.8408
lyrics00445,Gemini,0.5556,1.6452,0.7778,1.56862745098,2.47619047619,0.0196078431373,181,97,0.760606,0.96278,1.044444,9.944751,0.6439,0.7961
